IDENT;Age;DEPT_LOG;SO_LOG
104;46;93;Propriétaire
104;47;93;Propriétaire
104;48;93;Propriétaire
104;49;93;Propriétaire
104;50;93;Propriétaire
104;51;93;Propriétaire
104;52;93;Propriétaire
104;53;93;Propriétaire
104;54;93;Propriétaire
104;55;93;Propriétaire
104;56;93;Propriétaire
104;57;93;Propriétaire
104;58;93;Propriétaire
104;59;93;Propriétaire
104;60;93;Propriétaire
104;61;93;Propriétaire
104;62;93;Propriétaire
104;63;93;Propriétaire
104;64;93;Propriétaire
104;65;93;Propriétaire
104;66;93;Propriétaire
104;67;93;Propriétaire
105;0;99;Parents
105;1;99;Parents
105;2;99;Parents
105;3;99;Parents
105;4;99;Parents
105;5;99;Parents
105;6;99;Parents
105;7;99;Parents
105;8;99;Parents
105;9;99;Parents
105;10;99;Parents
105;11;99;Parents
105;12;99;Parents
105;13;99;Parents
105;14;99;Parents
105;15;99;Parents
105;16;99;Parents
105;17;99;Parents
105;18;99;Parents
105;19;99;Parents
105;20;99;Parents
105;21;99;
105;22;99;
105;23;99;
105;24;99;Parents
105;25;99;Parents
105;26;99;Locataire privé
105;27;99;Locataire privé
105;28;99;Locataire privé
105;29;99;Locataire privé
105;30;99;Locataire privé
105;31;93;Locataire privé
105;32;93;Locataire privé
105;33;93;Locataire privé
105;34;93;Locataire privé
105;35;93;Locataire privé
105;36;93;Locataire privé
105;37;93;Locataire privé
105;38;93;Locataire privé
105;39;93;Locataire privé
105;40;93;Locataire privé
105;41;93;Locataire privé
105;42;93;Locataire privé
105;43;93;Locataire privé
105;44;93;Locataire privé
105;45;93;Locataire privé
105;46;93;Locataire privé
105;47;93;Locataire privé
105;48;93;Locataire privé
105;49;93;Locataire privé
105;50;93;Locataire privé
105;51;93;Locataire privé
105;52;93;Locataire privé
105;53;93;Locataire privé
105;54;93;Locataire privé
105;55;93;Locataire privé
105;56;93;Locataire privé
105;57;93;Locataire privé
105;58;93;Locataire privé
105;59;93;Locataire privé
105;60;93;Locataire privé
105;61;93;Locataire privé
105;62;93;Locataire privé
105;63;93;Locataire privé
105;64;93;Locataire privé
105;65;93;Locataire privé
105;66;93;Locataire privé
105;67;93;Locataire privé
105;68;93;Locataire privé
106;0;99;Parents
106;1;99;Parents
106;2;99;Parents
106;3;99;Parents
106;4;99;Parents
106;5;99;Parents
106;6;99;Parents
106;7;99;Parents
106;8;99;Parents
106;9;99;Parents
106;10;99;Parents
106;11;93;Parents
106;12;93;Parents
106;13;93;Parents
106;14;93;Parents
106;15;93;Parents
106;16;93;Parents
106;17;93;Parents
106;18;93;Parents
106;19;93;Parents
106;20;93;Parents
106;21;93;Parents
106;22;93;Parents
106;23;93;Parents
106;24;93;HLM
106;25;93;HLM
106;26;93;HLM
106;27;93;HLM
106;28;93;HLM
106;29;93;HLM
106;30;93;Propriétaire
106;31;93;Propriétaire
106;32;93;Propriétaire
106;33;93;Propriétaire
106;34;93;Propriétaire
106;35;93;Propriétaire
106;36;93;Propriétaire
106;37;93;Propriétaire
106;38;93;Propriétaire
106;39;93;Propriétaire
106;40;93;Propriétaire
106;41;93;Propriétaire
106;42;93;Propriétaire
106;43;93;Propriétaire
106;44;93;Propriétaire
106;45;93;Propriétaire
106;46;93;Propriétaire
106;47;93;Propriétaire
106;48;93;Propriétaire
106;49;93;Propriétaire
106;50;93;Propriétaire
107;0;93;Autre
107;1;93;Autre
107;2;93;Autre
107;3;93;Autre
107;4;93;Autre
107;5;93;Autre
107;6;93;Autre
107;7;93;Autre
107;8;93;Parents
107;9;93;Parents
107;10;93;Parents
107;11;93;Parents
107;12;93;Parents
107;13;93;Parents
107;14;93;Parents
107;15;93;Parents
107;16;93;Parents
107;17;93;Parents
107;18;93;Parents
107;19;93;Parents
107;20;93;Parents
107;21;93;Parents
107;22;93;Parents
107;23;93;Locataire privé
107;24;93;Locataire privé
107;25;93;Locataire privé
107;26;93;Locataire privé
107;27;93;HLM
107;28;93;HLM
107;29;93;HLM
107;30;93;HLM
107;31;93;HLM
107;32;93;HLM
107;33;93;HLM
107;34;93;HLM
107;35;93;HLM
107;36;93;HLM
107;37;93;HLM
107;38;93;HLM
107;39;93;HLM
107;40;93;HLM
107;41;93;HLM
107;42;93;HLM
107;43;93;HLM
107;44;93;HLM
107;45;93;HLM
107;46;93;HLM
107;47;93;HLM
107;48;93;HLM
107;49;93;Locataire privé
107;50;93;Locataire privé
107;51;93;Locataire privé
108;0;94;Parents
108;1;94;Parents
108;2;94;Parents
108;3;94;Parents
108;4;94;Parents
108;5;94;Parents
108;6;94;Parents
108;7;94;Parents
108;8;94;Parents
108;9;94;Parents
108;10;94;Parents
108;11;94;Parents
108;12;94;Parents
108;13;94;Parents
108;14;94;Parents
108;15;94;Parents
108;16;94;Parents
108;17;94;Parents
108;18;94;Parents
108;19;94;Parents
108;20;93;Propriétaire
108;21;93;Propriétaire
108;22;93;Propriétaire
108;23;93;Propriétaire
108;24;93;Propriétaire
108;25;93;Propriétaire
108;26;93;Propriétaire
108;27;93;Propriétaire
108;28;93;Propriétaire
108;29;93;Propriétaire
108;30;93;Propriétaire
108;31;93;Propriétaire
108;32;93;Propriétaire
108;33;93;Propriétaire
108;34;93;Propriétaire
108;35;93;Propriétaire
108;36;93;Propriétaire
108;37;93;Propriétaire
108;38;93;Propriétaire
108;39;93;Propriétaire
108;40;93;Propriétaire
108;41;93;Propriétaire
108;42;93;Propriétaire
108;43;93;Propriétaire
108;44;93;Propriétaire
108;45;93;Propriétaire
108;46;93;Propriétaire
108;47;93;Propriétaire
108;48;93;Propriétaire
108;49;93;Propriétaire
108;50;93;Propriétaire
108;51;93;Propriétaire
108;52;93;Propriétaire
109;0;59;Parents
109;1;59;Parents
109;2;59;Parents
109;3;59;Parents
109;4;59;Parents
109;5;59;Parents
109;6;59;Parents
109;7;59;Parents
109;8;59;Parents
109;9;59;Parents
109;10;59;Parents
109;11;59;Parents
109;12;59;Parents
109;13;59;Parents
109;14;59;Parents
109;15;59;Parents
109;16;59;Parents
109;17;59;Parents
109;18;59;Parents
109;19;59;Parents
109;20;59;Parents
109;21;59;Parents
109;22;59;Locataire privé
109;23;59;Locataire privé
109;24;59;Propriétaire
109;25;59;Propriétaire
109;26;1;Locataire privé
109;27;1;Locataire privé
109;28;93;Locataire privé
109;29;93;Locataire privé
109;30;93;Locataire privé
109;31;93;Locataire privé
109;32;93;Locataire privé
109;33;93;Locataire privé
109;34;93;Locataire privé
109;35;93;Locataire privé
109;36;93;Locataire privé
109;37;93;Locataire privé
109;38;93;Locataire privé
109;39;93;Locataire privé
109;40;93;Propriétaire
109;41;93;Propriétaire
109;42;93;Propriétaire
109;43;93;Propriétaire
109;44;93;Propriétaire
109;45;93;Propriétaire
109;46;93;Propriétaire
109;47;93;Propriétaire
109;48;93;Propriétaire
109;49;93;Propriétaire
109;50;93;Propriétaire
109;51;93;Propriétaire
110;0;99;Parents
110;1;99;Parents
110;2;99;Parents
110;3;99;Parents
110;4;99;Parents
110;5;99;Parents
110;6;99;Parents
110;7;99;Autre
110;8;99;Autre
110;9;99;Autre
110;10;99;Autre
110;11;99;Autre
110;12;99;Autre
110;13;99;Autre
110;14;99;Autre
110;15;99;Autre
110;16;99;Autre
110;17;99;Autre
